S_NO,TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
,2026-05-11,THE,46.46000000,46.66406000,46.80742000,47.04706000,47.23664000,46.89348000,47.01615000,46.94372000,46.61159000,44.99380000,38.71065000,36.95294000,36.41481000,35.81358000,35.72777000,35.87594000,36.73750000,36.53927000,36.92934000,36.46675000,35.93115000,34.01984000,29.18336000,27.76444000,26.79971000,26.92518000,27.04839000,27.67219000,28.10739000,28.50108000,28.68091000,28.72648000,28.63712000,28.23779000,24.32027000,24.01248000
,2026-05-11,JKM,17.62559000,17.65465000,17.57542000,17.37590000,17.02689000,16.70728000,16.85083000,16.55271000,16.25015000,15.27381000,13.28901000,12.58630000,12.60966000,12.60567000,12.63713000,12.67563000,12.88980000,12.75665000,13.03047000,12.62615000,12.44848000,11.78483000,10.20033000,9.71010000,9.52363000,9.57552000,9.57973000,9.61164000,9.64072000,9.78915000,9.93784000,10.06494000,10.09285000,10.00970000,8.62132000,8.51890000
,2026-05-11,TTF,46.05000000,46.07500000,46.00742000,46.02930000,45.84135000,45.30848000,45.24383000,45.05872000,44.72659000,43.10880000,37.03065000,35.27294000,34.73481000,34.33358000,34.24777000,34.39594000,34.47500000,34.27677000,34.66684000,34.47925000,33.94365000,32.03234000,27.51817000,26.10631000,25.55498000,25.67715000,25.66431000,25.72982000,25.78730000,26.18000000,26.57270000,26.83356000,26.88712000,26.62969000,22.72027000,22.41248000
,2026-05-08,JKM,16.86987000,16.89976000,16.79699000,16.59283000,16.27559000,15.98638000,16.15228000,15.87016000,15.53270000,14.59490000,12.91837000,12.23309000,12.26174000,12.31846000,12.35069000,12.38784000,12.61674000,12.48511000,12.75580000,12.36313000,12.18964000,11.54057000,10.10179000,9.61668000,9.43208000,9.48102000,9.48524000,9.51680000,9.52713000,9.67375000,9.82055000,9.94897000,9.97650000,9.89437000,8.59439000,8.49218000
,2026-05-08,THE,44.35000000,44.57849000,44.71903000,44.93799000,45.11689000,44.85433000,45.03715000,45.01927000,44.58539000,43.07619000,37.66265000,35.95421000,35.43116000,35.00338000,34.91957000,35.06429000,35.97750000,35.78364000,36.16511000,35.73545000,35.21121000,33.34043000,28.89341000,27.48833000,26.53310000,26.65059000,26.77253000,27.38999000,27.84146000,28.23040000,28.40754000,28.45449000,28.36586000,27.97090000,24.25328000,23.94640000
,2026-05-08,TTF,43.90000000,43.93000000,43.86903000,43.88000000,43.71309000,43.26933000,43.27272000,43.13427000,42.70039000,41.19119000,35.99265000,34.28421000,33.76116000,33.53338000,33.44957000,33.59429000,33.71500000,33.52114000,33.90261000,33.74795000,33.22371000,31.35293000,27.24966000,25.85158000,25.30562000,25.41978000,25.40707000,25.47192000,25.47703000,25.86500000,26.25298000,26.51793000,26.57086000,26.31645000,22.65328000,22.34640000
,2026-05-07,TTF,43.60000000,43.63500000,43.59763000,43.62857000,43.38083000,43.05838000,43.05235000,42.83366000,42.40281000,40.90412000,35.95800000,34.18534000,33.59465000,33.35815000,33.39158000,33.52862000,33.55525000,33.50482000,33.80363000,33.76083000,33.23639000,31.36490000,27.31744000,25.91588000,25.36857000,25.48475000,25.47200000,25.53702000,25.56075000,25.95000000,26.33925000,26.60310000,26.65620000,26.40098000,22.74564000,22.43751000
,2026-05-07,JKM,16.70717000,16.81374000,16.76911000,16.52169000,16.17653000,15.90481000,16.06791000,15.75807000,15.42201000,14.48821000,12.90081000,12.19393000,12.19902000,12.25263000,12.32587000,12.36030000,12.55611000,12.47483000,12.71636000,12.36302000,12.18958000,11.54050000,10.12194000,9.63584000,9.45076000,9.50032000,9.50438000,9.53587000,9.55282000,9.69967000,9.84683000,9.97470000,10.00221000,9.91975000,8.62310000,8.52065000
,2026-05-07,THE,44.07500000,44.33459000,44.54213000,44.68962000,44.84074000,44.69838000,44.87112000,44.77366000,44.34281000,42.84412000,37.63300000,35.86034000,35.26965000,34.83315000,34.86658000,35.00362000,35.79275000,35.74232000,36.04113000,35.72333000,35.19889000,33.32740000,28.98666000,27.57808000,26.62015000,26.73965000,26.86202000,27.48148000,27.92539000,28.31561000,28.49339000,28.54009000,28.45120000,28.05500000,24.34564000,24.03751000
,2026-05-06,THE,44.35000000,44.52618000,44.72969000,44.83486000,45.02211000,44.79311000,44.87932000,44.81612000,44.46859000,43.05095000,37.88000000,35.81465000,35.00919000,34.85311000,34.88656000,35.02368000,35.88606000,35.78501000,36.15878000,35.80498000,35.27966000,33.40503000,29.16573000,27.45666000,26.53733000,26.69019000,26.81234000,27.43059000,27.90564000,28.29556000,28.47319000,28.46960000,28.38092000,27.98574000,24.41872000,24.10960000
