TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,score_raw_mse,score_curve_z,market_label,EVENT_LABEL
2021-12-22,TTF,165.3946,165.1508,157.3563,133.1115,129.3288,128.9092,128.7836,128.7836,129.1789,129.7574,130.736,130.9401,130.9952,130.8673,122.1973,41.2542,37.926,36.9456,37.3002,37.3751,37.6822,37.7158,38.02,38.3242,38.8648,38.8648,37.7352,26.962,25.5621,25.263,24.6259,24.8502,25.3113,25.8529,26.2737,26.7726,22.701357,24.23106575012207,TTF,EU pre-invasion spike
2021-12-21,TTF,180.1656,179.99,167.0692,128.9535,125.2872,125.0723,124.775,124.775,124.775,125.9059,126.475,127.0441,126.6944,126.3232,118.4088,41.8885,38.5091,37.5136,37.9145,37.9907,38.42,38.2264,38.6125,38.9986,39.3774,39.3774,38.2329,27.56,26.129,25.8234,25.194,25.4235,25.8953,26.3936,26.85,27.1185,20.937653,22.263452529907227,TTF,EU pre-invasion spike
2022-03-02,TTF,173.7,171.6748,171.3585,170.5511,168.7781,167.2048,164.8963,163.9956,162.366,159.46,152.7663,134.4124,69.215,62.103,59.2286,59.2182,59.1,58.9779,58.571,58.5125,58.454,57.7193,57.1534,54.9264,43.94,41.7853,41.0402,39.3923,39.6308,40.2429,41.1593,41.575,41.9908,40.8765,40.596,38.8029,17.273857,18.17606544494629,TTF,Russian invasion shock
2021-12-23,TTF,125.8653,125.8404,121.1983,106.3992,104.6118,104.4191,104.2581,104.2581,104.5782,104.7987,105.7486,106.072,105.8447,105.7416,98.1508,39.9217,36.701,35.7523,35.9058,35.9779,36.2735,36.4808,36.775,37.0692,37.5973,37.5973,36.5045,27.3,25.8825,25.5798,24.947,25.1743,25.6414,26.0987,26.5235,27.027,16.872223,17.727998733520508,TTF,EU pre-invasion spike
2021-12-28,TTF,105.588,105.9546,102.824,93.5056,90.2671,89.9342,90.1847,90.1847,90.4616,91.2939,92.1214,92.4031,91.9937,91.9041,85.3066,39.3354,36.162,35.2272,35.6568,35.7284,36.022,36.1584,36.45,36.7416,37.4205,37.4205,36.3329,27.612,26.1783,25.8721,25.2434,25.4734,25.946,26.6393,27.0729,27.5869,12.919364,13.318129539489746,TTF,EU pre-invasion spike
2021-12-20,TTF,146.4794,146.054,133.2783,96.6718,91.9128,91.3996,91.4959,91.4959,91.7768,92.1634,92.4411,93.131,93.1533,92.1981,87.6775,40.8145,37.5218,36.5518,36.1309,36.2036,36.6127,37.1993,37.575,37.9508,38.2538,38.2538,37.1419,28.184,26.7206,26.408,26.0338,26.271,26.7584,27.0571,27.525,27.8003,12.622443,12.9868803024292,TTF,EU pre-invasion spike
2021-12-24,TTF,98.6802,98.778,96.0364,88.4016,87.4369,87.2703,87.1254,87.2564,87.5255,87.9656,88.8524,89.2128,89.0178,88.6721,81.8027,39.1222,35.966,35.0363,35.1588,35.2294,35.5189,35.7864,36.075,36.3636,36.8903,36.8903,35.8181,27.04,25.636,25.3361,24.7,24.925,25.3875,26.0495,26.4735,26.9761,12.373052,12.70865535736084,TTF,EU pre-invasion spike
2021-12-27,TTF,105.84,106.155,103.1168,90.0879,87.1819,86.947,86.8506,86.8506,87.1172,87.8557,88.652,88.9231,88.4669,88.3806,82.0361,39.2288,36.064,35.1317,35.5572,35.6286,35.9213,36.0592,36.35,36.6408,37.0165,37.0165,35.9406,26.988,25.5867,25.2874,24.6506,24.8752,25.3367,26.0495,26.4735,26.9761,12.130002,12.437504768371582,TTF,EU pre-invasion spike
2021-12-29,TTF,95.9247,96.1632,94.186,87.7716,86.8573,86.6033,86.5883,86.5883,86.8541,87.4585,88.2512,88.5211,88.5531,88.3806,81.9499,40.2682,37.0195,36.0625,36.2295,36.3023,36.6005,36.8032,37.1,37.3968,38.077,38.077,36.9703,27.144,25.8129,25.3527,24.7494,24.9749,25.4383,26.1478,26.5734,27.0779,11.683048,11.93887710571289,TTF,EU pre-invasion spike
2022-03-08,TTF,212.5631,205.375,198.1869,192.5861,188.4364,184.7268,167.631,160.548,144.1225,131.0184,116.5782,104.5239,82.775,73.3688,69.669,68.8188,68.75,68.679,66.9883,66.325,65.6618,64.1288,62.6019,56.5929,51.4913,49.75,48.0088,45.7958,45.75,45.7027,47.672,47.2,46.728,44.31,42.622,39.7088,10.852543,11.012351989746094,TTF,Russian invasion shock
2022-01-06,TTF,97.25,95.95,87.2977,85.9175,85.5839,85.4092,85.452,85.7585,86.0929,87.1364,87.6638,87.6928,87.6072,81.8032,42.7318,39.4292,38.6922,38.6915,38.8082,39.287,39.5808,39.9,40.2192,40.602,40.602,39.4219,27.976,26.6041,26.1298,25.6669,25.8223,26.2212,26.9255,27.475,28.0245,28.2043,10.839953,10.998307228088379,TTF,EU pre-invasion spike
2021-12-17,TTF,135.1995,135.1344,120.8888,84.9562,80.6961,80.1636,79.9949,79.9949,80.2405,80.1843,80.7911,81.7582,81.6,80.7633,76.8033,38.2694,35.182,34.2725,33.5315,33.5989,33.9786,34.65,35.0,35.35,35.7035,35.7035,34.6658,27.82,26.3755,26.067,25.688,25.922,26.403,26.713,27.175,27.4468,10.688576,10.829428672790527,TTF,EU pre-invasion spike
2022-01-05,TTF,94.25,92.3,84.6633,83.5735,83.2466,83.1085,83.1085,83.3125,83.6303,84.644,85.1563,85.2224,85.1392,79.4987,42.2809,39.0132,38.2839,38.2193,38.3347,38.8076,39.1592,39.475,39.7908,40.2233,40.2233,39.0542,27.56,26.2085,25.7412,25.2705,25.4235,25.8162,26.5335,27.075,27.6165,27.8003,10.410108,10.518765449523926,TTF,EU pre-invasion spike
2022-03-04,TTF,195.005,189.9447,189.2382,183.5184,179.5602,176.5735,156.261,147.0,137.739,113.95,107.59,96.6139,71.9325,69.1525,67.4266,63.627,63.5,63.3688,62.4124,62.35,62.2877,60.027,59.4385,57.1225,49.972,47.5215,46.6742,45.5365,45.8122,46.5198,46.953,47.0,47.047,44.88,44.572,42.6034,10.141154,10.218716621398926,TTF,Russian invasion shock
2022-03-01,TTF,122.85,120.5036,120.0357,119.6704,119.3125,118.9426,118.5832,118.3466,117.9345,115.6462,113.975,104.8643,60.5923,55.5382,54.2737,53.589,53.7508,54.4139,54.7202,54.775,54.8298,54.2895,53.7573,51.6626,41.08,39.0655,38.369,37.1625,37.3875,37.965,38.808,39.2,39.592,39.0775,38.885,37.5748,10.096527,10.168930053710938,TTF,Russian invasion shock
2022-03-07,TTF,207.399,201.5483,196.3095,193.2243,188.1145,186.3166,168.775,162.181,140.2111,127.916,112.322,98.6964,79.3094,77.375,75.4406,72.0375,70.625,69.1654,69.69,69.0,68.31,67.2,65.6,59.3032,52.0088,50.25,48.4913,47.7978,47.75,47.7007,48.858,47.9,46.942,45.255,43.531,40.5557,9.962848,10.019795417785645,TTF,Russian invasion shock
2021-12-16,TTF,135.2806,134.5072,117.4549,79.862,75.8573,75.3567,75.2122,75.2122,75.4431,75.5514,76.1231,77.0343,76.7104,75.9238,72.2012,37.5232,34.496,33.6043,32.835,32.901,33.2728,34.0313,34.375,34.7188,35.0723,35.0723,34.0529,27.482,26.0551,25.7503,25.3669,25.598,26.073,26.3936,26.85,27.1185,9.848395,9.892110824584961,TTF,EU pre-invasion spike
2022-01-04,TTF,85.8,84.5,78.8103,78.106,77.8764,77.6753,77.6753,77.866,78.2546,79.2041,79.9188,79.9664,79.7722,73.4893,40.4772,37.3489,36.6507,36.1319,36.241,36.6881,37.1256,37.425,37.7244,38.1528,38.1528,37.0439,26.884,25.5657,25.1098,24.6264,24.7755,25.1581,25.921,26.45,26.979,27.2195,9.740756,9.772026062011719,TTF,EU pre-invasion spike
2021-12-14,TTF,127.4206,126.8038,116.1599,76.2375,71.4294,70.9304,70.7292,70.7292,70.9463,71.1662,71.7048,72.5631,72.1792,71.4391,67.9363,35.7776,32.8913,32.041,31.4296,31.4927,31.8486,32.5166,32.845,33.1735,33.5876,33.5876,32.6114,26.286,24.9212,24.6296,24.4283,24.6508,25.1082,25.3123,25.75,26.0075,9.539627,9.547643661499023,TTF,EU pre-invasion spike
2022-01-07,TTF,87.175,85.95,79.0956,78.0384,77.8126,77.6098,77.6098,77.8481,78.4622,79.5734,80.0958,80.0,79.9219,74.627,40.3711,37.251,36.5546,36.5295,36.6398,37.0918,37.3984,37.7,38.0016,38.38,38.38,37.2645,27.924,26.5547,26.0812,25.4192,25.5731,25.9681,26.8765,27.425,27.9735,28.1538,9.392774,9.383811950683594,TTF,EU pre-invasion spike
2021-12-22,THE,166.0535,166.2755,158.6439,134.0465,130.2638,129.8442,129.6486,129.6486,130.0439,131.0239,131.8727,131.5535,132.0137,131.6223,122.7064,41.7306,38.486,37.5806,37.8602,37.9351,38.2422,38.2271,38.4935,38.6441,39.1279,39.0498,37.8444,27.2374,25.8921,25.6742,24.9459,25.1602,25.6413,26.1902,26.5853,26.9773,22.81446,25.13125228881836,THE,EU pre-invasion spike
