TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,score_raw_mse,score_curve_z,market_label,EVENT_LABEL
2021-01-04,JKM,43.85895064,27.42182782,19.94911351,17.38783492,16.77457104,16.63280285,16.9722478,17.31169276,17.8268504,19.28366828,20.39545035,21.16171739,21.34698777,19.24730108,16.56259764,15.57711572,15.5453277,15.44072541,15.76201339,16.89922055,16.32711603,17.04623349,17.54280818,18.75951202,18.75951202,17.22663185,15.58225399,14.63449705,13.88393766,14.12580883,14.41972823,15.46010705,15.14739172,15.81454083,16.27525416,17.42420212,0.45891795,6.2473554611206055,JKM,
2021-01-04,THE,19.275,18.755,17.4994,16.86558,16.52746,16.58097,16.66242,16.8465,17.02363,18.00867,18.31508,18.34185,18.20646,17.67731,15.8351,15.38574,15.14648,14.98585,15.07534,15.35077,15.65861,16.54948,16.95964,17.17527,17.04893,16.55778,15.08514,14.65937,14.43268,14.26385,14.34854,14.6092,15.01191,15.78479,16.32829,16.45917,0.008399452,0.023735545575618744,THE,
2021-01-04,TTF,19.75,19.015,17.24118,16.49373,16.09897,16.17597,16.25742,16.4415,16.83363,17.81867,18.12508,18.2406,18.19646,17.75615,15.6151,15.16574,14.92648,14.76585,14.85534,15.13077,15.46861,16.35947,16.76964,16.89982,16.85893,16.45098,14.79514,14.36937,14.14268,13.97385,14.05854,14.3192,14.76191,15.53479,16.07829,16.12728,0.013432907,1.0881825685501099,TTF,
2021-01-05,TTF,17.91,17.44,16.27337,15.82796,15.62382,15.54293,15.6212,15.79807,16.37188,17.3299,17.6279,17.76843,17.72543,17.29651,15.26149,14.8223,14.58846,14.4243,14.51172,14.78078,15.16062,16.03375,16.43575,16.58925,16.54911,16.14865,14.69777,14.27481,14.0496,13.8798,13.96392,14.22282,14.6306,15.3966,15.93527,16.01383,0.011574821,0.7576051950454712,TTF,
2021-01-05,JKM,48.75093974,26.06433221,18.22676092,16.53124951,16.10735836,16.09472514,16.42318892,16.7516527,17.31416354,18.72908443,19.80889248,20.5733753,20.75351175,18.71216921,15.92613146,14.97850682,14.94794772,14.84879687,15.15776559,16.2513771,16.19810479,16.9115494,17.40421847,18.58309757,18.58309757,17.06463745,15.43569648,14.49687519,13.75337682,13.9929559,14.28413173,15.3147101,15.00494349,15.6658073,16.12217248,16.96780048,0.6921365,9.752558708190918,JKM,
2021-01-05,THE,17.42,17.14,16.53528,16.17296,16.04866,15.93793,16.01619,16.19307,16.63464,17.5099,17.71886,17.76843,17.72543,17.29651,15.44149,15.0023,14.76846,14.6043,14.69172,14.96078,15.35063,16.22375,16.62575,16.77925,16.73911,16.33865,14.98777,14.56481,14.3396,14.1698,14.25392,14.51282,14.8806,15.6466,16.18527,16.26383,0.009173509,0.13059011101722717,THE,
2021-01-06,THE,17.09,16.825,16.28735,15.97645,15.90108,15.80755,15.85402,15.99704,16.4014,17.26424,17.47023,17.50835,17.46598,17.04334,15.30825,14.8729,14.6411,14.4756,14.56224,14.8289,15.25512,16.12275,16.52221,16.67825,16.63835,16.24034,14.98264,14.55983,14.3347,14.16485,14.24894,14.50775,14.93313,15.70187,16.24248,16.30921,0.008464587,0.03272707760334015,THE,
2021-01-06,JKM,53.03835841,25.2222258,17.25850713,15.95597829,15.63034608,15.81908798,16.04460123,16.46344947,17.03694979,18.42921665,19.4917361,20.29481177,20.47248244,18.45879303,15.71049966,14.77571087,14.7455504,14.64774126,14.95253195,16.03132637,15.97878449,16.68256424,17.16855671,18.55057538,18.55057538,17.03477271,15.40868254,14.47150428,13.7293071,13.9684669,14.25913314,15.2879079,14.97868341,15.63839064,16.09395714,16.86509351,0.9347938,13.399621963500977,JKM,
2021-01-06,TTF,17.58,17.125,16.0242,15.63145,15.47697,15.41255,15.45902,15.60204,16.1398,17.08424,17.37802,17.50835,17.46598,17.04334,15.12825,14.6929,14.4611,14.2956,14.38224,14.6489,15.06513,15.93275,16.33221,16.48825,16.44835,16.05034,14.69264,14.26983,14.0447,13.87485,13.95894,14.21775,14.68313,15.45187,15.99248,16.05921,0.009892597,0.45831602811813354,TTF,
2021-01-07,THE,18.89,18.335,17.39491,16.93155,16.71708,16.63731,16.75218,16.97153,17.25499,18.16328,18.38016,18.35928,18.31485,17.87167,15.80947,15.36085,15.12198,14.9611,15.05044,15.32541,15.63235,16.5217,16.93117,17.0671,17.02626,16.61886,15.23888,14.80869,14.57964,14.41235,14.49794,14.76137,15.11935,15.89785,16.44531,16.49577,0.0093565155,0.1558532565832138,THE,
