TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,score_raw_mse,score_curve_z,market_label,EVENT_LABEL
2021-12-22,TTF,165.3946,165.1508,157.3563,133.1115,129.3288,128.9092,128.7836,128.7836,129.1789,129.7574,130.736,130.9401,130.9952,130.8673,122.1973,41.2542,37.926,36.9456,37.3002,37.3751,37.6822,37.7158,38.02,38.3242,38.8648,38.8648,37.7352,26.962,25.5621,25.263,24.6259,24.8502,25.3113,25.8529,26.2737,26.7726,1.3323641,235.74295043945312,TTF,EU pre-invasion spike
2021-12-21,TTF,180.1656,179.99,167.0692,128.9535,125.2872,125.0723,124.775,124.775,124.775,125.9059,126.475,127.0441,126.6944,126.3232,118.4088,41.8885,38.5091,37.5136,37.9145,37.9907,38.42,38.2264,38.6125,38.9986,39.3774,39.3774,38.2329,27.56,26.129,25.8234,25.194,25.4235,25.8953,26.3936,26.85,27.1185,1.2858713,227.47128295898438,TTF,EU pre-invasion spike
2021-12-23,TTF,125.8653,125.8404,121.1983,106.3992,104.6118,104.4191,104.2581,104.2581,104.5782,104.7987,105.7486,106.072,105.8447,105.7416,98.1508,39.9217,36.701,35.7523,35.9058,35.9779,36.2735,36.4808,36.775,37.0692,37.5973,37.5973,36.5045,27.3,25.8825,25.5798,24.947,25.1743,25.6414,26.0987,26.5235,27.027,0.8704249,153.55804443359375,TTF,EU pre-invasion spike
2021-12-20,TTF,146.4794,146.054,133.2783,96.6718,91.9128,91.3996,91.4959,91.4959,91.7768,92.1634,92.4411,93.131,93.1533,92.1981,87.6775,40.8145,37.5218,36.5518,36.1309,36.2036,36.6127,37.1993,37.575,37.9508,38.2538,38.2538,37.1419,28.184,26.7206,26.408,26.0338,26.271,26.7584,27.0571,27.525,27.8003,0.78592706,138.52479553222656,TTF,EU pre-invasion spike
2021-12-17,TTF,135.1995,135.1344,120.8888,84.9562,80.6961,80.1636,79.9949,79.9949,80.2405,80.1843,80.7911,81.7582,81.6,80.7633,76.8033,38.2694,35.182,34.2725,33.5315,33.5989,33.9786,34.65,35.0,35.35,35.7035,35.7035,34.6658,27.82,26.3755,26.067,25.688,25.922,26.403,26.713,27.175,27.4468,0.742787,130.84962463378906,TTF,EU pre-invasion spike
2021-12-16,TTF,135.2806,134.5072,117.4549,79.862,75.8573,75.3567,75.2122,75.2122,75.4431,75.5514,76.1231,77.0343,76.7104,75.9238,72.2012,37.5232,34.496,33.6043,32.835,32.901,33.2728,34.0313,34.375,34.7188,35.0723,35.0723,34.0529,27.482,26.0551,25.7503,25.3669,25.598,26.073,26.3936,26.85,27.1185,0.74021643,130.3922882080078,TTF,EU pre-invasion spike
2021-12-14,TTF,127.4206,126.8038,116.1599,76.2375,71.4294,70.9304,70.7292,70.7292,70.9463,71.1662,71.7048,72.5631,72.1792,71.4391,67.9363,35.7776,32.8913,32.041,31.4296,31.4927,31.8486,32.5166,32.845,33.1735,33.5876,33.5876,32.6114,26.286,24.9212,24.6296,24.4283,24.6508,25.1082,25.3123,25.75,26.0075,0.7258235,127.83160400390625,TTF,EU pre-invasion spike
2021-12-15,TTF,129.3658,128.742,116.5286,73.372,69.4212,68.8944,68.7812,68.7812,68.9923,69.1099,69.6329,70.4664,69.952,69.2347,65.84,35.9775,33.075,32.22,31.4918,31.5551,31.9116,32.6502,32.98,33.3098,33.7037,33.7037,32.7241,26.546,25.1677,24.8733,24.6753,24.9001,25.3621,25.5826,26.025,26.2853,0.7215816,127.076904296875,TTF,EU pre-invasion spike
2022-03-02,TTF,173.7,171.6748,171.3585,170.5511,168.7781,167.2048,164.8963,163.9956,162.366,159.46,152.7663,134.4124,69.215,62.103,59.2286,59.2182,59.1,58.9779,58.571,58.5125,58.454,57.7193,57.1534,54.9264,43.94,41.7853,41.0402,39.3923,39.6308,40.2429,41.1593,41.575,41.9908,40.8765,40.596,38.8029,0.61151594,107.49481964111328,TTF,Russian invasion shock
2021-12-28,TTF,105.588,105.9546,102.824,93.5056,90.2671,89.9342,90.1847,90.1847,90.4616,91.2939,92.1214,92.4031,91.9937,91.9041,85.3066,39.3354,36.162,35.2272,35.6568,35.7284,36.022,36.1584,36.45,36.7416,37.4205,37.4205,36.3329,27.612,26.1783,25.8721,25.2434,25.4734,25.946,26.6393,27.0729,27.5869,0.6026268,105.91332244873047,TTF,EU pre-invasion spike
2022-01-06,TTF,97.25,95.95,87.2977,85.9175,85.5839,85.4092,85.452,85.7585,86.0929,87.1364,87.6638,87.6928,87.6072,81.8032,42.7318,39.4292,38.6922,38.6915,38.8082,39.287,39.5808,39.9,40.2192,40.602,40.602,39.4219,27.976,26.6041,26.1298,25.6669,25.8223,26.2212,26.9255,27.475,28.0245,28.2043,0.59983146,105.41600036621094,TTF,EU pre-invasion spike
2021-12-13,TTF,116.2917,116.235,107.9477,76.9284,71.7974,71.2244,71.0289,71.0289,71.2469,71.352,71.892,72.7525,72.6528,71.9078,68.3821,36.8303,33.859,32.9837,31.8898,31.9539,32.3149,33.2269,33.5625,33.8981,34.3274,34.3274,33.3297,26.806,25.4142,25.1169,24.9223,25.1493,25.616,25.6809,26.125,26.3863,0.5879581,103.30357360839844,TTF,EU pre-invasion spike
