TRADE_DATE,MARKET,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,score_raw_mse,score_curve_z,market_label,EVENT_LABEL
2022-03-02,TTF,173.7,171.6748,171.3585,170.5511,168.7781,167.2048,164.8963,163.9956,162.366,159.46,152.7663,134.4124,69.215,62.103,59.2286,59.2182,59.1,58.9779,58.571,58.5125,58.454,57.7193,57.1534,54.9264,43.94,41.7853,41.0402,39.3923,39.6308,40.2429,41.1593,41.575,41.9908,40.8765,40.596,38.8029,11.215835,48.76277542114258,TTF,Russian invasion shock
2021-12-22,TTF,165.3946,165.1508,157.3563,133.1115,129.3288,128.9092,128.7836,128.7836,129.1789,129.7574,130.736,130.9401,130.9952,130.8673,122.1973,41.2542,37.926,36.9456,37.3002,37.3751,37.6822,37.7158,38.02,38.3242,38.8648,38.8648,37.7352,26.962,25.5621,25.263,24.6259,24.8502,25.3113,25.8529,26.2737,26.7726,7.590354,32.8139533996582,TTF,EU pre-invasion spike
2021-12-21,TTF,180.1656,179.99,167.0692,128.9535,125.2872,125.0723,124.775,124.775,124.775,125.9059,126.475,127.0441,126.6944,126.3232,118.4088,41.8885,38.5091,37.5136,37.9145,37.9907,38.42,38.2264,38.6125,38.9986,39.3774,39.3774,38.2329,27.56,26.129,25.8234,25.194,25.4235,25.8953,26.3936,26.85,27.1185,7.1615686,30.92768669128418,TTF,EU pre-invasion spike
2022-03-01,TTF,122.85,120.5036,120.0357,119.6704,119.3125,118.9426,118.5832,118.3466,117.9345,115.6462,113.975,104.8643,60.5923,55.5382,54.2737,53.589,53.7508,54.4139,54.7202,54.775,54.8298,54.2895,53.7573,51.6626,41.08,39.0655,38.369,37.1625,37.3875,37.965,38.808,39.2,39.592,39.0775,38.885,37.5748,6.5421653,28.2028751373291,TTF,Russian invasion shock
2022-03-08,TTF,212.5631,205.375,198.1869,192.5861,188.4364,184.7268,167.631,160.548,144.1225,131.0184,116.5782,104.5239,82.775,73.3688,69.669,68.8188,68.75,68.679,66.9883,66.325,65.6618,64.1288,62.6019,56.5929,51.4913,49.75,48.0088,45.7958,45.75,45.7027,47.672,47.2,46.728,44.31,42.622,39.7088,5.6166563,24.13147735595703,TTF,Russian invasion shock
2022-03-03,TTF,144.9984,140.892,138.9332,138.312,135.3288,133.0778,131.376,128.8,126.224,122.8725,116.0145,104.1789,65.8778,63.3318,61.7511,59.6691,59.55,59.4269,59.4094,59.35,59.2907,58.395,57.8225,55.5694,47.32,44.9995,44.1972,43.0094,43.2698,43.9382,45.9041,45.95,45.996,44.829,44.5214,42.5549,5.5839453,23.987577438354492,TTF,Russian invasion shock
2021-12-23,TTF,125.8653,125.8404,121.1983,106.3992,104.6118,104.4191,104.2581,104.2581,104.5782,104.7987,105.7486,106.072,105.8447,105.7416,98.1508,39.9217,36.701,35.7523,35.9058,35.9779,36.2735,36.4808,36.775,37.0692,37.5973,37.5973,36.5045,27.3,25.8825,25.5798,24.947,25.1743,25.6414,26.0987,26.5235,27.027,5.493043,23.587690353393555,TTF,EU pre-invasion spike
2022-03-04,TTF,195.005,189.9447,189.2382,183.5184,179.5602,176.5735,156.261,147.0,137.739,113.95,107.59,96.6139,71.9325,69.1525,67.4266,63.627,63.5,63.3688,62.4124,62.35,62.2877,60.027,59.4385,57.1225,49.972,47.5215,46.6742,45.5365,45.8122,46.5198,46.953,47.0,47.047,44.88,44.572,42.6034,5.2900834,22.694852828979492,TTF,Russian invasion shock
2022-01-06,TTF,97.25,95.95,87.2977,85.9175,85.5839,85.4092,85.452,85.7585,86.0929,87.1364,87.6638,87.6928,87.6072,81.8032,42.7318,39.4292,38.6922,38.6915,38.8082,39.287,39.5808,39.9,40.2192,40.602,40.602,39.4219,27.976,26.6041,26.1298,25.6669,25.8223,26.2212,26.9255,27.475,28.0245,28.2043,5.006476,21.447237014770508,TTF,EU pre-invasion spike
2022-03-07,TTF,207.399,201.5483,196.3095,193.2243,188.1145,186.3166,168.775,162.181,140.2111,127.916,112.322,98.6964,79.3094,77.375,75.4406,72.0375,70.625,69.1654,69.69,69.0,68.31,67.2,65.6,59.3032,52.0088,50.25,48.4913,47.7978,47.75,47.7007,48.858,47.9,46.942,45.255,43.531,40.5557,4.930453,21.112804412841797,TTF,Russian invasion shock
2022-01-05,TTF,94.25,92.3,84.6633,83.5735,83.2466,83.1085,83.1085,83.3125,83.6303,84.644,85.1563,85.2224,85.1392,79.4987,42.2809,39.0132,38.2839,38.2193,38.3347,38.8076,39.1592,39.475,39.7908,40.2233,40.2233,39.0542,27.56,26.2085,25.7412,25.2705,25.4235,25.8162,26.5335,27.075,27.6165,27.8003,4.7796807,20.44954490661621,TTF,EU pre-invasion spike
2022-03-31,TTF,122.6099037,123.8064,123.6185,123.4418,123.073,122.3148,117.8775,115.3781,115.4663,114.879,112.3088,108.1163,70.338,58.615,56.2498,57.2384,57.5846,58.2962,58.0158,58.0737,57.6161,56.056,53.7922,51.8448,48.3106,46.917,44.1144,43.4525,43.4525,43.4525,44.4387,44.35,44.2613,44.044,42.7735,40.2735,4.7224126,20.197616577148438,TTF,Russian invasion shock
2022-03-09,TTF,153.3511,149.975,146.8264,143.3546,138.7528,136.1357,131.4525,128.9025,122.1902,117.165,110.0475,101.3405,76.494,63.745,61.1728,60.489,61.1,61.7314,62.5864,62.5864,61.6623,59.9718,58.8073,55.9336,47.15,46.0,44.85,43.043,43.0,42.9556,44.5158,44.075,43.6343,42.2363,40.6273,37.8504,4.6150093,19.725139617919922,TTF,Russian invasion shock
2022-01-04,TTF,85.8,84.5,78.8103,78.106,77.8764,77.6753,77.6753,77.866,78.2546,79.2041,79.9188,79.9664,79.7722,73.4893,40.4772,37.3489,36.6507,36.1319,36.241,36.6881,37.1256,37.425,37.7244,38.1528,38.1528,37.0439,26.884,25.5657,25.1098,24.6264,24.7755,25.1581,25.921,26.45,26.979,27.2195,4.4444957,18.975034713745117,TTF,EU pre-invasion spike
2022-01-07,TTF,87.175,85.95,79.0956,78.0384,77.8126,77.6098,77.6098,77.8481,78.4622,79.5734,80.0958,80.0,79.9219,74.627,40.3711,37.251,36.5546,36.5295,36.6398,37.0918,37.3984,37.7,38.0016,38.38,38.38,37.2645,27.924,26.5547,26.0812,25.4192,25.5731,25.9681,26.8765,27.425,27.9735,28.1538,4.357278,18.59135627746582,TTF,EU pre-invasion spike
